,YEAR,PLAYER,POS,BODY_FAT_%,HAND_LENGTH_(INCHES),HAND_WIDTH_(INCHES),HEIGHT_W/O_SHOES,HEIGHT_W/_SHOES,STANDING_REACH,WEIGHT_(LBS),WINGSPAN,LANE_AGILITY_TIME_(SECONDS),SHUTTLE_RUN_(SECONDS),THREE_QUARTER_SPRINT_(SECONDS),STANDING_VERTICAL_LEAP_(INCHES),MAX_VERTICAL_LEAP_(INCHES),MAX_BENCH_PRESS_(REPETITIONS),player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,Unnamed: 64,Unnamed: 65
10,2021,Josh Christopher,SG,5.8,8.75,8.5,75.25,76.5,101.0,214.8,81.25,11.32,3.3,3.14,29.5,37.5,,Josh Christopher,Arizona St.,P12,15,44.2,99.2,24.3,48.3,52.94,2.4,16.2,9.8,13.2,44,55,0.8,58,117,0.496,18,59,0.305,1.9,2.7,31.3,Fr,5-Jun,13,2.4801,109.494,4.3,2021,72758,all,98.0,0.80770784,32.0,44.0,26.0,73.0,0.7273,0.3562,10.0,11.0,0.9091,24.0,103.024,96.7446,3.12196,93.0764,2.53864,1.34261,1.19603,3.37013,29.7333,2.14686,1.22328,0.6667,4.0667,4.7333,1.4,1.4667,0.5333,14.2667,Wing G,7.28567
11,2021,Ayo Dosunmu,SG,4.9,8.5,8.75,75.5,77.0,102.0,194.4,82.25,11.51,3.27,3.23,27.0,33.5,,Ayo Dosunmu,Illinois,B10,28,78.4,110.8,29.4,52.6,56.64,3.9,15.8,29.2,18.0,112,143,0.783,178,347,0.513,32,83,0.386,0.6,1.8,33.3,Jr,5-Jun,11,5.51004,131.045,2.4,2021,66420,all,93.8,1.58065879,113.0,173.0,65.0,175.0,0.6532,0.3714,10.0,10.0,1.0,38.0,95.7054,88.8015,4.62736,194.087,8.56789,5.21167,3.35622,8.2811,35.1429,5.92089,2.36021,1.1071,5.2143,6.3214,5.25,1.1071,0.2143,20.1429,Combo G,4.72946
12,2021,David Duke,SG,5.9,8.5,9.0,76.25,77.5,102.5,203.6,80.75,11.21,3.19,3.08,30.0,39.0,,David Duke,Providence,BE,26,90.9,100.3,27.5,45.6,50.77,3.0,16.4,27.3,18.3,99,125,0.792,93,241,0.386,51,131,0.389,0.8,1.9,33.6,Jr,5-Jun,3,3.76562,115.087,3.2,2021,66040,all,90.8,1.51220744,60.0,131.0,33.0,110.0,0.458,0.3,12.0,13.0,0.9231,,101.119,95.6181,3.9936,176.828,5.47728,3.2041,2.27318,4.672,37.0769,3.28649,1.38551,1.0,5.3462,6.3462,4.7692,1.1923,0.2692,16.8462,Combo G,8.03933
13,2021,Kessler Edwards,PF,4.3,8.5,8.25,79.0,80.0,106.0,203.0,83.25,11.3,3.38,3.25,28.0,37.0,,Kessler Edwards,Pepperdine,WCC,25,83.6,111.2,22.2,55.2,60.1,4.2,18.5,7.2,13.5,86,97,0.887,105,195,0.538,44,115,0.383,3.7,1.4,31.3,Jr,8-Jun,15,3.8231,118.192,2.6,2021,66410,all,43.2,0.67346265,49.0,74.0,56.0,121.0,0.6622,0.4628,11.0,11.0,1.0,44.0,100.998,97.2831,3.47908,172.384,4.43339,2.77887,1.65452,5.27019,33.9259,4.381,0.889188,1.2222,5.5926,6.8148,1.2222,0.963,1.2222,17.2222,Stretch 4,7.52283
14,2021,Luka Garza,C,11.7,9.0,9.25,82.0,83.25,107.5,242.8,85.5,11.9,3.38,3.51,24.0,29.5,,Luka Garza,Iowa,B10,31,78.8,124.0,30.4,59.6,61.99,10.4,18.2,12.1,8.9,141,199,0.709,237,408,0.581,44,100,0.44,5.2,1.2,39.2,Sr,11-Jun,55.0,7.04186,149.643,2.9,2021,51595,all,76.6,1.14893471,176.0,256.0,60.0,152.0,0.6875,0.3947,12.0,12.0,1.0,52.0,99.7365,93.9444,3.64318,209.668,10.746,8.57559,2.17042,12.4542,31.6452,11.1024,1.35175,3.0,5.7419,8.7419,1.7419,0.6774,1.6129,24.0968,PF/C,5.74303
15,2021,Raiquan Gray,PF,17.3,9.25,9.0,78.5,79.75,105.0,268.6,82.75,11.69,3.3,3.25,26.5,31.5,,Raiquan Gray,Florida St.,ACC,25,65.1,109.9,23.5,53.6,58.2,7.0,20.1,16.1,20.4,71,93,0.763,101,181,0.558,8,30,0.267,3.1,2.6,44.1,Jr,8-Jun,1.0,3.18555,120.484,4.0,2021,65720,all,68.4,1.0,65.0,99.0,36.0,82.0,0.6566,0.439,11.0,12.0,0.9167,59.0,94.1902,88.8895,3.46931,149.176,7.54953,3.37927,4.17026,6.57951,26.32,3.39166,3.18786,1.48,4.92,6.4,2.2,1.2,0.72,11.88,Wing F,2.61281
16,2021,Sam Hauser,SF,7.9,8.25,9.0,78.75,80.0,102.0,217.4,81.25,11.14,3.07,3.34,28.5,34.5,,Sam Hauser,Virginia,ACC,25,85.2,123.6,22.2,61.1,63.53,3.4,21.6,11.6,9.0,43,48,0.896,84,141,0.596,63,151,0.417,1.4,1.1,16.4,Sr,8-Jun,10.0,5.44808,131.339,1.8,2021,44798,all,83.6,1.73076925,27.0,39.0,57.0,102.0,0.6923,0.5588,1.0,1.0,1.0,,99.4885,93.6426,3.9738,142.987,7.46395,6.12422,1.33974,9.06252,34.24,7.50547,1.55704,0.84,5.96,6.8,1.8,0.56,0.4,16.0,Stretch 4,11.6408
17,2021,Aaron Henry,SF,5.6,8.5,9.25,76.5,78.0,103.5,209.6,82.75,11.68,3.18,3.07,29.0,35.0,,Aaron Henry,Michigan St.,B10,28,80.9,100.0,26.9,48.2,52.07,4.8,14.6,25.2,19.0,80,105,0.762,139,282,0.493,24,81,0.296,4.1,2.4,28.9,Jr,6-Jun,0.0,3.30037,114.651,2.7,2021,65497,all,72.0,1.26250394,57.0,104.0,82.0,178.0,0.5481,0.4607,10.0,13.0,0.7692,,99.9827,92.1819,3.93788,185.488,7.32699,2.79892,4.52807,7.26312,32.5,4.21888,3.04424,1.3929,4.25,5.6429,3.6071,1.3214,1.2857,15.3571,Wing G,5.17122
18,2021,Matthew Hurt,PF,15.2,9.0,9.0,80.5,81.5,106.5,232.4,81.5,11.44,3.25,3.34,25.5,32.5,,Matthew Hurt,Duke,ACC,24,80.7,129.7,21.0,64.9,66.09,5.1,17.0,8.1,9.8,55,76,0.724,108,170,0.635,56,126,0.444,2.1,1.3,25.7,So,9-Jun,21,5.82253,137.223,3.9,2021,71038,all,97.8,1.14279591,48.0,64.0,60.0,106.0,0.75,0.566,8.0,8.0,1.0,,103.857,98.3338,3.24047,133.502,7.06782,6.98262,0.0851986,8.88233,32.625,8.14959,0.732738,1.4583,4.6667,6.125,1.3333,0.7083,0.6667,18.2917,Stretch 4,9.29387
19,2021,Nah'Shon Hyland,SG,5.8,8.75,9.0,74.0,75.5,101.5,169.0,81.25,10.53,3.17,3.1,26.5,34.0,,Nah'Shon Hyland,VCU,A10,24,73.3,106.0,28.7,54.9,59.6,0.6,15.7,15.1,19.2,94,109,0.862,83,154,0.539,69,186,0.371,0.6,3.3,32.1,So,3-Jun,5,3.95728,121.173,2.8,2021,70684,all,83.8,0.67567218,66.0,101.0,17.0,53.0,0.6535,0.3208,4.0,4.0,1.0,26.0,90.9492,88.5393,4.26566,163.279,5.0055,3.39479,1.6107,7.39625,31.9167,5.09438,2.30186,0.1667,4.5417,4.7083,2.0833,1.875,0.1667,19.4583,Combo G,13.8506
