YEAR,PLAYER,POS,BODYÊFATÊ%,HANDÊLENGTHÊ(INCHES),HANDÊWIDTHÊ(INCHES),HEIGHTÊW/OÊSHOES,HEIGHTÊW/ÊSHOES,STANDINGÊREACH,WEIGHTÊ(LBS),WINGSPAN,LANEÊAGILITYÊTIMEÊ(SECONDS),SHUTTLEÊRUNÊ(SECONDS),THREEÊQUARTERÊSPRINTÊ(SECONDS),STANDINGÊVERTICALÊLEAPÊ(INCHES),MAXÊVERTICALÊLEAPÊ(INCHES),MAXÊBENCHÊPRESSÊ(REPETITIONS)
2022,Yves Pons,PF,4.00%,9,9.25,6'5.5'',6'6.75'',8'8.0'',206.4,7'0.75'',10.89,3.05,3.1,36,42.5,-
2022,Jason Preston,PG,5.45%,8.5,9.25,6'3.0'',6'4.0'',8'4.5'',180.6,6'8.5'',10.82,3.08,3.13,30.5,38.5,-
2022,Joshua Primo,SG,6.30%,9,10,6'4.0'',6'5.0'',8'6.5'',189,6'9.25'',10.97,3.36,3.22,30.5,37.5,-
2022,Roko Prkacin,PF,7.00%,8.75,9.25,6'7.5'',6'9.25'',8'11.0'',225.4,6'11.0'',-,-,-,-,-,-
2022,Neemias Queta,C,7.60%,9.25,10.5,6'11.25'',7'0.5'',9'4.5'',248.4,7'4.0'',11.85,3.5,3.29,27,33,-
2022,Austin Reaves,SG,11.00%,8,8.25,6'4.5'',6'5.75'',8'5.0'',197.2,6'6.25'',10.94,3.19,3.07,25,35,-
2022,Jeremiah Robinson-Earl,PF,8.90%,9,9.75,6'7.75'',6'9.0'',8'9.5'',242.4,6'9.75'',11.64,3.15,3.29,27,32,-
2022,Terrence Shannon Jr.,SF,6.70%,8,8,6'5.5'',6'6.5'',8'4.0'',206.6,6'8.25'',11.51,3.12,3.21,32.5,39.5,-
2022,Day'Ron Sharpe,C,-%,-,-,,,,-,,-,-,-,-,-,-
2022,Jericho Sims,C,5.50%,9,9.75,6'9.0'',6'10.0'',8'10.0'',250.2,7'3.25'',11.59,3.38,3.05,37,44.5,-
2022,Jaden Springer,SG,6.30%,8.5,9.75,6'3.0'',6'4.25'',8'3.0'',202,6'7.75'',11.46,3.1,3.13,34.5,41.5,-
2022,DJ Steward,PG,5.00%,8.5,9,6'0.75'',6'1.75'',8'2.5'',162.2,6'7.0'',11.14,3.1,3.08,34.5,38.5,-
2022,Cam Thomas,SG,-%,-,-,,,,-,,-,-,-,-,-,-
2022,JT Thor,PF,6.10%,9.25,9.5,6'8.5'',6'9.25'',9'2.0'',203,7'3.25'',12.19,3.08,3.06,31.5,35,-
2022,Isaiah Todd,PF,6.20%,9,9.75,6'8.75'',6'10.0'',8'11.5'',219,7'1.25'',11.38,3.25,3.31,28.5,35.5,-
2022,Duane Washington Jr.,SG,5.10%,8.25,8.75,6'2.25'',6'3.75'',8'5.0'',196.8,6'7.75'',11.5,3.06,3.17,29.5,35.5,-
2022,Trendon Watford,PF,10.10%,9.5,9.5,6'7.5'',6'8.75'',8'9.0'',237.4,7'2.25'',11.69,3.23,3.27,28,35,-
2022,Joe Wieskamp,SF,4.10%,8.5,9.25,6'5.75'',6'7.25'',8'7.0'',204.8,6'11.0'',10.7,3.18,3.04,30,42,-
2022,Aaron Wiggins,SG-SF,5.00%,8.75,8.5,6'4.5'',6'5.0'',8'7.0'',190,6'9.75'',11.2,3,3.04,29.5,36,-
2022,Ziaire Williams,SF,4.40%,9,8.75,6'8.25'',6'9.75'',8'10.5'',188.4,6'10.25'',10.69,3.04,3.12,34,39.5,-
2022,Moses Wright,PF,5.60%,9,9.5,6'7.75'',6'9.0'',8'11.0'',225.8,7'0.75'',11.2,3.42,3.15,31.5,38,-
2022,McKinley Wright IV,PG,6.70%,8.5,9,5'11.25'',6'0.25'',7'10.0'',192.2,6'5.25'',10.76,3.12,3.08,31.5,38,-
2022,Marcus Zegarowski,PG,7.20%,8,9.5,6'0.75'',6'2.0'',8'0.0'',180.8,6'2.75'',11.47,3.26,3.11,30,35.5,-
2021,Precious Achiuwa,PF,6.70%,9,10,6'7.50'',6'8.75'',9'0.50'',234,7'0.75'',-,-,-,-,-,-
2021,Ty-Shon Alexander,SG,12.30%,8.75,8.75,6'2.00'',6'4.00'',8'4.00'',200.8,6'8.00'',11.33,2.47,3.26,28,33,-
2021,Udoka Azubuike,C,9.61%,9.25,10,6'10.00'',6'11.50'',9'1.00'',259.5,7'7.25'',11.82,3.61,3.23,37,41,-
2021,Tyler Bey,PF,5.00%,8.5,9,6'6.00'',6'7.00'',8'9.50'',212.8,7'1.25'',11.35,2.75,3.17,37,43.5,-
2021,Yoeli Childs,PF,8.20%,8.75,10,6'6.00'',6'7.00'',8'10.00'',226.4,6'11.50'',10.87,2.42,3.22,34,38.5,-
2021,Mamadi Diakite,PF,7.83%,9,10.25,6'8.50'',6'10.25'',8'11.00'',222.1,7'3.75'',11.95,2.71,3.16,28,37,-
2021,Devon Dotson,PG,4.60%,8.25,10,6'0.50'',6'1.75'',7'11.00'',185.2,6'3.00'',10.44,2.22,3.02,31.5,40.5,-
2021,Paul Eboua,SF-PF,3.80%,9,10.25,6'6.00'',6'7.50'',9'0.00'',222.2,7'3.50'',10.79,2.44,3.19,33,35.5,-
2021,CJ Elleby,SG-SF,4.20%,8.75,10,6'5.50'',6'6.25'',8'4.50'',198.6,6'7.25'',11.25,2.63,3.25,30.5,36.5,-
2021,Trent Forrest,PG,5.65%,9,9.75,6'3.50'',6'4.75'',8'6.50'',203,6'7.50'',11.04,2.5,3.18,28,34.5,-
2021,Josh Green,SG-SF,6.80%,8,8.75,6'4.50'',6'5.50'',8'5.50'',214,6'9.75'',10.64,2.28,3.12,30.5,39.5,-
